iter	Passed	Remaining
0	2	2127
1	3	1928
2	5	1839
3	7	1790
4	8	1779
5	11	1881
6	13	1927
7	15	1908
8	16	1858
9	18	1802
10	19	1754
11	20	1718
12	22	1689
13	23	1665
14	25	1674
15	27	1704
16	29	1697
17	30	1679
18	32	1667
19	33	1655
20	35	1643
21	36	1629
22	38	1621
23	39	1615
24	41	1629
25	43	1633
26	45	1622
27	46	1611
28	47	1602
29	49	1592
30	50	1585
31	52	1583
32	53	1578
33	55	1577
34	57	1588
35	59	1590
36	60	1582
37	62	1575
38	63	1567
39	65	1561
40	66	1555
41	68	1557
42	69	1555
43	71	1558
44	73	1567
45	75	1567
46	77	1565
47	78	1565
48	80	1561
49	81	1556
50	83	1551
51	84	1546
52	86	1545
53	88	1556
54	90	1555
55	92	1552
56	93	1551
57	95	1547
58	96	1543
59	98	1539
60	99	1535
61	101	1534
62	103	1537
63	105	1537
64	106	1531
65	107	1528
66	109	1524
67	110	1520
68	112	1516
69	113	1512
70	115	1508
71	116	1507
72	118	1509
73	120	1510
74	122	1505
75	123	1501
76	124	1497
77	126	1494
78	127	1491
79	129	1488
80	130	1485
81	132	1486
82	133	1478
83	135	1479
84	137	1475
85	138	1471
86	139	1468
87	141	1465
88	142	1462
89	144	1459
90	145	1456
91	147	1457
92	149	1459
93	151	1460
94	153	1458
95	154	1457
96	156	1456
97	157	1452
98	159	1448
99	160	1444
100	162	1442
101	163	1443
102	165	1444
103	167	1445
104	169	1446
105	171	1447
106	173	1447
107	174	1443
108	176	1440
109	177	1438
110	179	1440
111	181	1439
112	183	1439
113	185	1439
114	186	1438
115	188	1438
116	190	1434
117	191	1434
118	193	1436
119	196	1439
120	198	1441
121	199	1438
122	201	1437
123	203	1436
124	205	1435
125	206	1434
126	207	1429
127	209	1428
128	211	1428
129	213	1425
130	214	1422
131	215	1420
132	217	1417
133	219	1415
134	220	1414
135	222	1412
136	224	1411
137	226	1411
138	227	1410
139	229	1408
140	230	1405
141	231	1400
142	233	1397
143	234	1395
144	236	1392
145	237	1390
146	239	1389
147	241	1389
148	243	1388
149	244	1386
150	246	1384
151	247	1382
152	249	1379
153	250	1377
154	252	1374
155	253	1372
156	255	1372
157	257	1372
158	259	1369
159	260	1367
160	261	1362
161	262	1360
162	264	1357
163	265	1355
164	267	1353
165	269	1351
166	270	1351
167	273	1352
168	276	1357
169	279	1362
170	281	1365
171	283	1365
172	285	1366
173	288	1368
174	290	1368
175	291	1366
176	293	1363
177	294	1361
178	296	1359
179	297	1356
180	299	1354
181	301	1353
182	303	1353
183	304	1351
184	306	1348
185	307	1346
186	309	1345
187	311	1344
188	313	1344
189	315	1343
190	317	1343
191	318	1341
192	320	1339
193	321	1336
194	323	1333
195	324	1331
196	326	1329
197	327	1326
198	328	1324
199	330	1321
200	332	1321
201	334	1320
202	335	1318
203	337	1315
204	338	1312
205	340	1310
206	341	1308
207	342	1305
208	344	1303
209	345	1301
210	347	1300
211	349	1299
212	351	1297
213	352	1295
214	354	1292
215	355	1290
216	357	1288
217	358	1285
218	359	1283
219	361	1281
220	363	1280
221	365	1280
222	366	1278
223	368	1276
224	370	1274
225	371	1272
226	373	1270
227	374	1267
228	375	1265
229	377	1263
230	379	1262
231	380	1260
232	382	1258
233	383	1256
234	385	1255
235	387	1253
236	388	1251
237	390	1249
238	391	1246
239	393	1246
240	395	1245
241	397	1243
242	398	1241
243	399	1239
244	401	1237
245	402	1235
246	404	1232
247	405	1230
248	407	1228
249	409	1228
250	411	1227
251	412	1225
252	414	1223
253	415	1221
254	417	1219
255	418	1217
256	420	1215
257	421	1213
258	423	1212
259	425	1211
260	427	1210
261	428	1208
262	430	1206
263	431	1204
264	433	1202
265	434	1200
266	436	1198
267	437	1195
268	439	1195
269	441	1194
270	443	1192
271	444	1190
272	446	1188
273	447	1186
274	449	1184
275	450	1182
276	452	1180
277	454	1179
278	456	1180
279	459	1182
280	462	1183
281	464	1183
282	467	1184
283	470	1185
284	472	1185
285	474	1184
286	476	1183
287	478	1182
288	480	1181
289	481	1178
290	482	1176
291	484	1174
292	486	1173
293	488	1172
294	489	1169
295	491	1168
296	492	1166
297	494	1164
298	495	1162
299	497	1160
300	498	1158
301	500	1157
302	502	1155
303	504	1154
304	505	1152
305	507	1150
306	508	1148
307	510	1146
308	511	1143
309	513	1141
310	514	1139
311	516	1138
312	518	1137
313	519	1135
314	521	1133
315	522	1131
316	524	1129
317	525	1127
318	526	1124
319	528	1123
320	530	1121
321	532	1120
322	534	1119
323	535	1117
324	537	1115
325	538	1113
326	540	1111
327	541	1109
328	543	1107
329	544	1105
330	546	1104
331	555	1117
332	557	1116
333	559	1114
334	560	1112
335	562	1111
336	564	1110
337	566	1108
338	567	1107
339	569	1105
340	571	1103
341	572	1101
342	574	1099
343	575	1097
344	577	1096
345	579	1094
346	581	1094
347	583	1092
348	585	1091
349	587	1090
350	589	1089
351	591	1088
352	594	1088
353	596	1088
354	598	1087
355	600	1086
356	602	1085
357	604	1083
358	606	1083
359	609	1082
360	611	1082
361	613	1081
362	615	1080
363	617	1079
364	620	1078
365	622	1077
366	625	1078
367	628	1079
368	631	1079
369	633	1078
370	636	1078
371	638	1078
372	641	1077
373	643	1076
374	645	1075
375	646	1073
376	648	1071
377	649	1069
378	651	1067
379	652	1065
380	654	1063
381	656	1062
382	658	1061
383	660	1059
384	662	1057
385	663	1056
386	665	1054
387	667	1052
388	668	1050
389	670	1049
390	672	1048
391	674	1046
392	676	1045
393	678	1043
394	680	1041
395	681	1039
396	683	1038
397	695	1051
398	697	1050
399	699	1049
400	701	1048
401	704	1047
402	705	1045
403	707	1043
404	709	1041
405	710	1039
406	712	1037
407	713	1035
408	715	1034
409	718	1033
410	720	1032
411	721	1030
412	723	1028
413	725	1026
414	727	1025
415	729	1023
416	731	1023
417	734	1022
418	735	1020
419	737	1018
420	738	1016
421	740	1014
422	742	1012
423	743	1010
424	745	1008
425	747	1007
426	749	1006
427	751	1004
428	753	1002
429	755	1001
430	756	999
431	758	997
432	760	995
433	762	994
434	764	992
435	766	990
436	767	988
437	769	986
438	770	984
439	772	982
440	773	981
441	775	979
442	777	978
443	779	976
444	781	974
445	783	972
446	784	970
447	786	968
448	787	966
449	789	965
450	791	963
451	793	962
452	795	960
453	797	959
454	799	957
455	800	955
456	802	953
457	804	951
458	806	950
459	808	949
460	810	947
461	812	946
462	814	944
463	815	942
464	817	940
465	818	938
466	820	936
467	822	935
468	824	933
469	826	931
470	827	929
471	829	927
472	830	925
473	832	923
474	833	921
475	835	919
476	837	918
477	839	916
478	841	915
479	842	913
480	844	911
481	846	909
482	854	914
483	856	913
484	858	911
485	860	910
486	862	908
487	863	906
488	865	904
489	867	902
490	869	901
491	871	899
492	873	898
493	874	896
494	876	894
495	878	892
496	879	890
497	880	887
498	882	885
499	883	883
500	885	882
501	887	880
502	889	878
503	890	876
504	892	874
505	893	872
506	895	870
507	896	868
508	898	866
509	900	865
510	902	863
511	903	861
512	905	859
513	906	857
514	907	854
515	909	852
516	910	850
517	912	848
518	914	847
519	916	845
520	917	843
521	919	841
522	920	839
523	922	837
524	923	835
525	925	834
526	927	832
527	929	830
528	931	829
529	933	827
530	935	826
531	937	824
532	938	822
533	940	820
534	942	818
535	944	817
536	946	815
537	948	814
538	949	812
539	951	810
540	953	808
541	954	806
542	956	804
543	957	802
544	959	801
545	963	800
546	965	799
547	967	798
548	969	796
549	971	794
550	972	792
551	974	791
552	977	790
553	980	789
554	982	787
555	984	786
556	985	784
557	987	782
558	988	780
559	990	778
560	993	777
561	995	776
562	997	774
563	999	772
564	1001	771
565	1003	769
566	1004	767
567	1006	765
568	1009	764
569	1011	762
570	1013	761
571	1022	765
572	1024	763
573	1027	762
574	1028	760
575	1030	758
576	1032	756
577	1034	754
578	1035	753
579	1037	751
580	1039	749
581	1041	747
582	1042	745
583	1044	743
584	1045	741
585	1047	739
586	1048	738
587	1050	736
588	1052	734
589	1054	732
590	1056	730
591	1057	728
592	1058	726
593	1060	724
594	1061	722
595	1063	720
596	1064	718
597	1066	716
598	1068	715
599	1070	713
600	1072	711
601	1073	709
602	1075	707
603	1076	705
604	1078	703
605	1079	701
606	1081	699
607	1082	698
608	1084	696
609	1086	694
610	1087	692
611	1089	690
612	1090	688
613	1092	686
614	1093	684
615	1095	682
616	1097	681
617	1099	679
618	1101	677
619	1103	676
620	1104	674
621	1106	672
622	1108	670
623	1109	668
624	1111	666
625	1113	665
626	1115	663
627	1117	661
628	1118	659
629	1120	657
630	1121	655
631	1123	654
632	1124	652
633	1126	650
634	1127	648
635	1130	646
636	1132	645
637	1133	643
638	1135	641
639	1136	639
640	1138	637
641	1139	635
642	1141	633
643	1143	631
644	1145	630
645	1147	628
646	1148	626
647	1150	624
648	1151	623
649	1153	621
650	1154	619
651	1156	617
652	1157	615
653	1159	613
654	1161	611
655	1163	610
656	1164	608
657	1166	606
658	1167	604
659	1169	602
660	1170	600
661	1172	598
662	1173	596
663	1176	595
664	1178	593
665	1180	591
666	1181	590
667	1183	588
668	1185	586
669	1186	584
670	1187	582
671	1189	580
672	1191	578
673	1193	577
674	1194	575
675	1195	573
676	1197	571
677	1198	569
678	1200	567
679	1201	565
680	1203	563
681	1204	561
682	1206	560
683	1208	558
684	1210	556
685	1211	554
686	1213	552
687	1214	550
688	1216	549
689	1218	547
690	1219	545
691	1221	543
692	1223	542
693	1225	540
694	1226	538
695	1228	536
696	1229	534
697	1231	532
698	1233	530
699	1234	529
700	1237	527
701	1246	528
702	1247	527
703	1249	525
704	1251	523
705	1253	521
706	1255	520
707	1256	518
708	1258	516
709	1259	514
710	1261	512
711	1262	510
712	1264	508
713	1266	507
714	1268	505
715	1270	503
716	1271	502
717	1273	500
718	1275	498
719	1276	496
720	1278	494
721	1279	492
722	1281	490
723	1283	489
724	1285	487
725	1287	485
726	1289	484
727	1291	482
728	1292	480
729	1293	478
730	1295	476
731	1297	474
732	1299	473
733	1301	471
734	1303	469
735	1305	468
736	1306	466
737	1308	464
738	1310	462
739	1312	461
740	1314	459
741	1315	457
742	1317	455
743	1319	453
744	1320	452
745	1322	450
746	1323	448
747	1325	446
748	1327	444
749	1329	443
750	1331	441
751	1332	439
752	1334	437
753	1335	435
754	1337	434
755	1339	432
756	1340	430
757	1342	428
758	1344	426
759	1346	425
760	1347	423
761	1349	421
762	1351	419
763	1352	417
764	1354	415
765	1355	414
766	1357	412
767	1359	410
768	1361	408
769	1362	407
770	1364	405
771	1366	403
772	1367	401
773	1369	399
774	1370	397
775	1372	396
776	1374	394
777	1376	392
778	1378	390
779	1379	389
780	1381	387
781	1382	385
782	1384	383
783	1385	381
784	1387	380
785	1389	378
786	1391	376
787	1393	374
788	1395	373
789	1396	371
790	1398	369
791	1400	367
792	1401	365
793	1403	364
794	1405	362
795	1407	360
796	1409	358
797	1411	357
798	1412	355
799	1414	353
800	1416	351
801	1417	349
802	1419	348
803	1421	346
804	1423	344
805	1424	342
806	1426	341
807	1427	339
808	1429	337
809	1431	335
810	1432	333
811	1434	332
812	1436	330
813	1438	328
814	1439	326
815	1441	325
816	1442	323
817	1444	321
818	1445	319
819	1447	317
820	1449	316
821	1451	314
822	1453	312
823	1454	310
824	1456	308
825	1457	307
826	1459	305
827	1460	303
828	1462	301
829	1464	299
830	1466	298
831	1468	296
832	1470	294
833	1471	292
834	1473	291
835	1475	289
836	1476	287
837	1478	285
838	1480	284
839	1482	282
840	1483	280
841	1485	278
842	1486	276
843	1488	275
844	1490	273
845	1492	271
846	1494	269
847	1496	268
848	1498	266
849	1499	264
850	1501	262
851	1502	261
852	1504	259
853	1506	257
854	1507	255
855	1509	253
856	1511	252
857	1513	250
858	1514	248
859	1515	246
860	1517	244
861	1518	243
862	1520	241
863	1521	239
864	1523	237
865	1524	235
866	1526	234
867	1528	232
868	1530	230
869	1531	228
870	1533	227
871	1534	225
872	1536	223
873	1537	221
874	1539	219
875	1541	218
876	1543	216
877	1544	214
878	1546	212
879	1547	211
880	1549	209
881	1550	207
882	1552	205
883	1553	203
884	1555	202
885	1557	200
886	1559	198
887	1561	196
888	1562	195
889	1564	193
890	1565	191
891	1567	189
892	1568	187
893	1570	186
894	1572	184
895	1574	182
896	1575	180
897	1577	179
898	1578	177
899	1580	175
900	1581	173
901	1583	171
902	1584	170
903	1586	168
904	1588	166
905	1590	165
906	1592	163
907	1594	161
908	1595	159
909	1597	157
910	1598	156
911	1600	154
912	1601	152
913	1603	150
914	1605	149
915	1607	147
916	1609	145
917	1611	143
918	1612	142
919	1614	140
920	1615	138
921	1617	136
922	1619	135
923	1621	133
924	1622	131
925	1624	129
926	1625	128
927	1627	126
928	1628	124
929	1630	122
930	1632	120
931	1633	119
932	1635	117
933	1637	115
934	1638	113
935	1640	112
936	1641	110
937	1643	108
938	1644	106
939	1646	105
940	1648	103
941	1650	101
942	1651	99
943	1653	98
944	1654	96
945	1655	94
946	1657	92
947	1658	90
948	1660	89
949	1661	87
950	1663	85
951	1665	83
952	1667	82
953	1668	80
954	1670	78
955	1671	76
956	1673	75
957	1674	73
958	1676	71
959	1677	69
960	1679	68
961	1681	66
962	1683	64
963	1684	62
964	1685	61
965	1687	59
966	1688	57
967	1690	55
968	1691	54
969	1693	52
970	1695	50
971	1697	48
972	1698	47
973	1700	45
974	1701	43
975	1703	41
976	1704	40
977	1706	38
978	1707	36
979	1709	34
980	1711	33
981	1713	31
982	1714	29
983	1716	27
984	1718	26
985	1719	24
986	1721	22
987	1722	20
988	1724	19
989	1726	17
990	1727	15
991	1729	13
992	1730	12
993	1732	10
994	1733	8
995	1735	6
996	1736	5
997	1737	3
998	1739	1
999	1741	0
